freq,indic_de,geo\TIME_PERIOD	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,JAN,IT	56960692 	56987507 	57130506 	57495900 	57874753 	58064214 	58223744 	58652875 	59000586 	59190143 	59364690 	59394207 	59685227 	60782668 	60795612 	60665551 	60589445 	60483973 	59816673 b	59641488 	59236213 	59030133 	58997201 
A,JAN,LI	32863 	33525 	33863 	34294 	34600 	34905 	35168 	35356 	35589 	35894 	36149 	36475 	36838 	37129 	37366 	37622 	37810 	38114 	38378 	38747 	39055 	39308 	39677 
A,JAN,LT	3486998 	3454637 	3431497 	3398929 	3355220 	3289835 	3249983 	3212605 	3183856 	3141976 	3052588 	3003641 	2971905 	2943472 	2921262 	2888558 	2847904 	2808901 	2794184 	2794090 	2795680 	2805998 	2857279 
A,JAN,LU	439000 	444050 	448300 	454960 	461230 	469086 	476187 	483799 	493500 	502066 	511840 	524853 b	537039 	549680 	562958 	576249 	590667 b	602005 	613894 	626108 	634730 	645397 	660809 
A,JAN,LV	2353384 	2320956 	2299390 	2276520 	2249724 	2227874 	2208840 	2191810 	2162834 	2120504 	2074605 	2044813 	2023825 	2001468 	1986096 	1968957 	1950116 	1934379 	1919968 	1907675 	1893223 	1875757 	1883008 
A,JAN,MC	: 	: 	: 	32828 	33085 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37700 e	38200 	: 	38300 	38300 e	: 	: 	: 	: 
A,JAN,MD	3635112 	3627812 	3618312 	3607435 	3600436 	3589936 	3581110 	3572703 	3567512 	3563695 	3560430 	3559541 	3559497 	2869226 be	2844673 e	2824387 e	2779952 e	2730364 e	2686064 e	2640438 e	2597107 p	2603729 e	2512758 ep
A,JAN,ME	605988 	608460 	610510 	612214 	613420 	613109 	614624 	615543 	617157 	619001 	619850 	620308 	620893 	621521 	622099 	622218 	622387 	622359 	622182 	621873 	620739 	617683 	616695 
A,JAN,MK	2031112 	2038651 	2023654 	2029892 	2035196 	2038514 	2041941 	2045177 	2048619 	2052722 	2057284 	2059794 	2062294 e	2065769 e	2069172 e	2071278 e	2073702 e	2075301 	2077132 	2076255 	2068808 	1837114 	1829954 
A,JAN,MT	391415 	394641 	397296 	399867 	402668 	404999 	405616 	407832 	410926 	414027 	414989 	417546 	422509 	429424 	439691 	450415 	460297 	475701 	493559 	514564 	516100 	520971 	542051 
A,JAN,NL	15987075 	16105285 	16192572 	16258032 	16305526 	16334210 	16357992 	16405399 	16485787 	16574989 	16655799 	16730348 	16779575 	16829289 	16900726 	16979120 	17081507 	17181084 	17282163 	17407585 	17475415 	17590672 	17811291 
A,JAN,NO	4503436 	4524066 	4552252 	4577457 	4606363 	4640219 	4681134 	4737171 	4799252 	4858199 	4920305 	4985870 	5051275 	5107970 	5166493 	5210721 	5258317 	5295619 	5328212 	5367580 	5391369 	5425270 	5488984 
A,JAN,PL	38253955 	38242197 	38218531 	38190608 	38173835 	38157055 	38125479 	38115641 	38135876 	38022869 b	38062718 	38063792 	38062535 	38017856 	38005614 	37967209 	37972964 	37976687 e	37972812 	37958138 e	37840001 ep	37654247 	36753736 
A,JAN,PT	10330774 	10394669 	10444592 	10473050 	10494672 	10511988 	10532588 	10553339 	10563014 	10573479 	10572721 	10542398 	10487289 	10427301 	10374822 	10341330 	10309573 	10291027 	10276617 	10295909 	10298252 	10352042 bp	10467366 
A,JAN,RO	22430457 	21833483 	21627509 	21521142 	21382354 	21257016 	21130503 	20635460 	20440290 	20294683 	20199059 	20095996 	20020074 	19947311 	19870647 	19760585 	19643949 	19533481 	19414458 	19328838 e	19201662 	19042455 e	19054548 e
A,JAN,RS	7504739 	7502126 	7490918 	7470263 	7456050 	7425487 	7397651 	7365507 	7334937 	7306677 	7251549 b	7216649 	7181505 	7146759 	7114393 	7076372 	7040272 	7001444 	6963764 	6926705 	6871547 	6797105 	6641197 
A,JAN,RU	146303611 	145649334 	145166731 e	144168205 	143474219 e	142753551 	142220968 	142008838 	141903979 	141914509 	142856536 	143056383 	: 	143666931 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,JAN,SE	8882792 	8909128 	8940788 	8975670 	9011392 	9047752 	9113257 	9182927 	9256347 	9340682 	9415570 	9482855 	9555893 	9644864 	9747355 	9851017 	9995153 	10120242 	10230185 	10327589 	10379295 	10452326 	10521556 
A,JAN,SI	1990094 	1994026 	1995033 	1996433 	1997590 	2003358 	2010377 	2010269 b	2032362 	2046976 	2050189 	2055496 	2058821 	2061085 	2062874 	2064188 	2065895 	2066880 	2080908 	2095861 	2108977 	2107180 	2116972 
A,JAN,SK	5378783 	5378951 	5374873 	5371875 	5372685 	5372928 	5373180 	5376064 	5382401 	5390410 	5392446 	5404322 	5410836 	5415949 	5421349 	5426252 	5435343 	5443120 	5450421 	5457873 	5459781 	5434712 	5428792 
A,JAN,SM	: 	: 	: 	29241 	29673 	29999 	30368 	32054 	31269 	: 	31863 	33376 	33562 	32520 	32789 	33005 	33196 	34453 	34590 	34735 	34805 	33698 	33812 
A,JAN,TR	64729501 b	65603160 	66401851 	67187251 	68010221 	68860539 	69729967 	70586256 	71517100 	72561312 	73722988 	74724269 	75627384 	76667864 	77695904 	78741053 	79814871 	80810525 	82003882 be	83154997 	83614362 	84680273 	85279553 
A,JAN,UA	48663609 	48240902 	47823108 	47442079 	47100462 	46749170 	46465691 	46192309 	45963359 	45782592 	45598179 	45453282 	45372692 	45245894 	42759661 b	42590879 	42414905 	42216766 	41983564 	41732779 	41418717 	40997698 e	: 
A,JAN,UK	58999781 	59239564 	59501394 	59793759 	60182050 	60620361 	61073279 	61571647 	62042343 	62510197 	63022532 	63495088 	63905342 	64351203 	64853393 	65379044 	65844142 	66273576 	66647112 	67025542 	: 	: 	: 
A,JAN,XK	: 	: 	1985000 	2016000 	2041000 	2100000 	2126708 	2153139 	2180686 	2208107 	1794180 b	1780021 e	1815606 e	1820631 e	1804944 e	1771604 e	1783531 e	1798506 	1795666 	1782115 	1798188 e	: 	: 
